From Country,To Country,Year,Jury or Televoting,Points,Source
Greece,Slovenia,2019,J,0,http://datagraver.com/
Andorra,Denmark,2009,J,5,http://datagraver.com/
Belgium,Croatia,2000,J,0,http://datagraver.com/
Switzerland,Poland,1996,J,0,http://datagraver.com/
Norway,Romania,2003,J,1,http://datagraver.com/
Norway,Germany,1976,J,0,http://datagraver.com/
Cyprus,Finland,2002,J,2,http://datagraver.com/
The Netherlands,F.Y.R. Macedonia,2005,J,3,http://datagraver.com/
Sweden,United Kingdom,1979,J,0,http://datagraver.com/
Switzerland,The Netherlands,1993,J,0,http://datagraver.com/
Latvia,Croatia,2001,J,0,http://datagraver.com/
Croatia,Lithuania,1999,J,2,http://datagraver.com/
Sweden,Slovenia,1998,J,0,http://datagraver.com/
Yugoslavia,Denmark,1990,J,0,http://datagraver.com/
France,Latvia,2006,J,0,http://datagraver.com/
Moldova,Germany,2009,J,0,http://datagraver.com/
Slovakia,Moldova,2010,J,0,http://datagraver.com/
Switzerland,Turkey,1991,J,0,http://datagraver.com/
Estonia,Norway,1994,J,8,http://datagraver.com/
Norway,Norway,1997,J,0,http://datagraver.com/
Slovenia,Estonia,2001,J,12,http://datagraver.com/
Finland,Hungary,2005,J,0,http://datagraver.com/
Belgium,Portugal,1986,J,0,http://datagraver.com/
Hungary,Austria,1995,J,4,http://datagraver.com/
Estonia,Iceland,2018,J,0,http://datagraver.com/
Israel,Lithuania,2001,J,4,http://datagraver.com/
Slovakia,Malta,2009,J,0,http://datagraver.com/
Turkey,Poland,1995,J,0,http://datagraver.com/
Belgium,Belgium,2000,J,0,http://datagraver.com/
Portugal,Estonia,2001,J,0,http://datagraver.com/
Sweden,France,1998,J,0,http://datagraver.com/
Greece,Sweden,1998,J,0,http://datagraver.com/
The Netherlands,Croatia,1998,J,4,http://datagraver.com/
The Netherlands,Sweden,1996,J,8,http://datagraver.com/
Switzerland,Austria,2000,J,4,http://datagraver.com/
United Kingdom,Belgium,2006,J,0,http://datagraver.com/
United Kingdom,Cyprus,2002,J,3,http://datagraver.com/
Germany,Malta,1997,J,0,http://datagraver.com/
Spain,United Kingdom,1994,J,3,http://datagraver.com/
Italy,Norway,1990,J,0,http://datagraver.com/
Turkey,Croatia,2000,J,8,http://datagraver.com/
Switzerland,Turkey,2004,J,8,http://datagraver.com/
Portugal,Norway,1990,J,0,http://datagraver.com/
Austria,Belgium,2003,J,4,http://datagraver.com/
United Kingdom,Israel,1993,J,0,http://datagraver.com/
Austria,Belgium,2000,J,0,http://datagraver.com/
Spain,Norway,1999,J,0,http://datagraver.com/
Monaco,Belarus,2004,J,0,http://datagraver.com/
Turkey,Italy,1992,J,5,http://datagraver.com/
Hungary,France,2007,J,0,http://datagraver.com/
The Netherlands,Estonia,1996,J,3,http://datagraver.com/
Finland,Finland,1998,J,0,http://datagraver.com/
Iceland,Denmark,1987,J,7,http://datagraver.com/
Norway,Romania,1998,J,0,http://datagraver.com/
Denmark,Denmark,2005,J,0,http://datagraver.com/
France,Israel,2009,J,10,http://datagraver.com/
United Kingdom,Russia,1995,J,0,http://datagraver.com/
Armenia,Iceland,2019,J,0,http://datagraver.com/
France,Slovenia,1998,J,0,http://datagraver.com/
Croatia,Malta,2001,J,0,http://datagraver.com/
Bosnia & Herzegovina,France,1997,J,3,http://datagraver.com/
Malta,Cyprus,1995,J,4,http://datagraver.com/
Switzerland,Poland,1994,J,10,http://datagraver.com/
Turkey,Ireland,2003,J,5,http://datagraver.com/
The Netherlands,Norway,2019,T,12,http://datagraver.com/
F.Y.R. Macedonia,Estonia,2000,J,0,http://datagraver.com/
Yugoslavia,Finland,1992,J,3,http://datagraver.com/
Belarus,Bosnia & Herzegovina,2005,J,0,http://datagraver.com/
Czech Republic,Greece,2019,T,0,http://datagraver.com/
Switzerland,Turkey,1998,J,0,http://datagraver.com/
Spain,France,1994,J,0,http://datagraver.com/
Turkey,Bosnia & Herzegovina,1996,J,6,http://datagraver.com/
Croatia,Denmark,2000,J,0,http://datagraver.com/
Ukraine,Cyprus,2007,J,0,http://datagraver.com/
Norway,Austria,1992,J,0,http://datagraver.com/
Greece,Norway,1991,J,0,http://datagraver.com/
Switzerland,Malta,1998,J,8,http://datagraver.com/
Israel,Germany,2006,J,0,http://datagraver.com/
Germany,Finland,1992,J,0,http://datagraver.com/
Armenia,France,2006,J,2,http://datagraver.com/
Portugal,Bosnia & Herzegovina,1997,J,0,http://datagraver.com/
Cyprus,Greece,2002,J,12,http://datagraver.com/
Russia,Poland,1994,J,6,http://datagraver.com/
Spain,Croatia,1998,J,1,http://datagraver.com/
Bosnia & Herzegovina,Spain,2002,J,6,http://datagraver.com/
Austria,Iceland,1993,J,1,http://datagraver.com/
Germany,Austria,1992,J,0,http://datagraver.com/
Bosnia & Herzegovina,United Kingdom,1999,J,1,http://datagraver.com/
Poland,France,2001,J,10,http://datagraver.com/
Spain,Croatia,2004,J,0,http://datagraver.com/
Belarus,Norway,2009,J,12,http://datagraver.com/
Sweden,Spain,1996,J,0,http://datagraver.com/
Ireland,Iceland,1999,J,4,http://datagraver.com/
Germany,The Netherlands,1986,J,10,http://datagraver.com/
Cyprus,F.Y.R. Macedonia,2004,J,0,http://datagraver.com/
Ireland,Croatia,2004,J,0,http://datagraver.com/
Ireland,Sweden,1984,J,12,http://datagraver.com/
Norway,Ireland,1998,J,4,http://datagraver.com/
Malta,Bulgaria,2018,J,2,http://datagraver.com/
Croatia,Estonia,1998,J,0,http://datagraver.com/
France,Bosnia & Herzegovina,1994,J,10,http://datagraver.com/
Cyprus,Poland,2007,J,3,http://datagraver.com/
Norway,Slovenia,1999,J,0,http://datagraver.com/
United Kingdom,Hungary,2007,J,4,http://datagraver.com/
Turkey,Spain,1998,J,0,http://datagraver.com/
Norway,Portugal,1995,J,0,http://datagraver.com/
San Marino,Estonia,2019,J,0,http://datagraver.com/
Greece,The Netherlands,2007,J,0,http://datagraver.com/
Bulgaria,The Netherlands,2010,J,0,http://datagraver.com/
United Kingdom,France,2000,J,0,http://datagraver.com/
Romania,Poland,1994,J,7,http://datagraver.com/
Norway,Malta,1996,J,1,http://datagraver.com/
Iceland,Portugal,1992,J,0,http://datagraver.com/
Turkey,Yugoslavia,1990,J,12,http://datagraver.com/
Russia,Cyprus,2006,J,0,http://datagraver.com/
Yugoslavia,Cyprus,1992,J,8,http://datagraver.com/
Monaco,Switzerland,1978,J,2,http://datagraver.com/
Turkey,Iceland,1993,J,0,http://datagraver.com/
Yugoslavia,United Kingdom,1986,J,0,http://datagraver.com/
Denmark,Lithuania,1999,J,0,http://datagraver.com/
France,Germany,2004,J,7,http://datagraver.com/
Portugal,France,2009,J,0,http://datagraver.com/
Slovenia,Turkey,1993,J,0,http://datagraver.com/
Russia,Iceland,2000,J,0,http://datagraver.com/
Belgium,Denmark,1992,J,0,http://datagraver.com/
Spain,Norway,2009,J,12,http://datagraver.com/
Montenegro,Serbia,2019,J,7,http://datagraver.com/
Switzerland,Israel,1991,J,8,http://datagraver.com/
Russia,Poland,2001,J,0,http://datagraver.com/
France,Estonia,2005,J,0,http://datagraver.com/
Greece,Spain,1987,J,10,http://datagraver.com/
Iceland,Denmark,2001,J,12,http://datagraver.com/
Slovenia,Germany,1998,J,8,http://datagraver.com/
Israel,Ireland,2006,J,0,http://datagraver.com/
Germany,Turkey,2006,J,12,http://datagraver.com/
Belgium,Turkey,1996,J,5,http://datagraver.com/
Denmark,Austria,1997,J,0,http://datagraver.com/
Sweden,Ireland,2000,J,4,http://datagraver.com/
Bosnia & Herzegovina,Turkey,1996,J,5,http://datagraver.com/
Norway,Germany,2000,J,3,http://datagraver.com/
Ireland,Finland,1986,J,0,http://datagraver.com/
Italy,Portugal,1997,J,0,http://datagraver.com/
Belarus,Cyprus,2005,J,0,http://datagraver.com/
Belgium,Norway,2007,J,0,http://datagraver.com/
Norway,Iceland,2001,J,1,http://datagraver.com/
Estonia,Portugal,1996,J,0,http://datagraver.com/
Spain,Sweden,1998,J,0,http://datagraver.com/
Israel,Israel,2000,J,0,http://datagraver.com/
United Kingdom,Norway,2009,J,10,http://datagraver.com/
Israel,United Kingdom,1998,J,12,http://datagraver.com/
France,Spain,1999,J,0,http://datagraver.com/
Norway,Spain,2006,J,0,http://datagraver.com/
United Kingdom,Lithuania,1994,J,0,http://datagraver.com/
Estonia,Norway,2000,J,3,http://datagraver.com/
Finland,Estonia,2018,T,12,http://datagraver.com/
F.Y.R. Macedonia,Croatia,2002,J,5,http://datagraver.com/
Denmark,Sweden,1999,J,10,http://datagraver.com/
Croatia,Croatia,2000,J,0,http://datagraver.com/
Azerbaijan,Cyprus,2019,J,3,http://datagraver.com/
Estonia,Poland,1996,J,0,http://datagraver.com/
Germany,Belgium,2005,J,0,http://datagraver.com/
Ukraine,Cyprus,2005,J,0,http://datagraver.com/
Estonia,Bosnia & Herzegovina,1996,J,0,http://datagraver.com/
Ireland,Portugal,2001,J,0,http://datagraver.com/
Sweden,Norway,1988,J,8,http://datagraver.com/
Latvia,Iceland,2000,J,7,http://datagraver.com/
The Netherlands,Luxembourg,1993,J,0,http://datagraver.com/
Croatia,Ireland,1998,J,2,http://datagraver.com/
Denmark,Moldova,2009,J,0,http://datagraver.com/
Poland,Bulgaria,2006,J,0,http://datagraver.com/
Belgium,The Netherlands,1988,J,0,http://datagraver.com/
Spain,Montenegro,2007,J,0,http://datagraver.com/
Slovenia,Ireland,2006,J,3,http://datagraver.com/
France,Israel,2019,T,12,http://datagraver.com/
France,Norway,2001,J,0,http://datagraver.com/
Portugal,Spain,1994,J,0,http://datagraver.com/
Austria,Germany,1985,J,0,http://datagraver.com/
Bosnia & Herzegovina,Albania,2004,J,4,http://datagraver.com/
United Kingdom,Sweden,1997,J,7,http://datagraver.com/
Switzerland,Sweden,2008,J,0,http://datagraver.com/
United Kingdom,Germany,1997,J,0,http://datagraver.com/
Turkey,Sweden,1999,J,6,http://datagraver.com/
Luxembourg,Denmark,1993,J,3,http://datagraver.com/
Belgium,Germany,1998,J,7,http://datagraver.com/
Belgium,Estonia,2007,J,0,http://datagraver.com/
Portugal,Bosnia & Herzegovina,2001,J,0,http://datagraver.com/
Norway,Belgium,2005,J,0,http://datagraver.com/
Finland,Bosnia & Herzegovina,2006,J,12,http://datagraver.com/
Estonia,Ireland,2000,J,4,http://datagraver.com/
Greece,Malta,1997,J,8,http://datagraver.com/
Switzerland,Switzerland,2000,J,0,http://datagraver.com/
Iceland,Turkey,2000,J,0,http://datagraver.com/
Greece,Andorra,2007,J,4,http://datagraver.com/
Bosnia & Herzegovina,Spain,2004,J,0,http://datagraver.com/
Norway,Malta,1999,J,0,http://datagraver.com/
Austria,Croatia,2002,J,6,http://datagraver.com/
Andorra,Finland,2005,J,3,http://datagraver.com/
Belgium,F.Y.R. Macedonia,2005,J,0,http://datagraver.com/
United Kingdom,Sweden,2006,J,6,http://datagraver.com/
Malta,France,1999,J,0,http://datagraver.com/
Malta,Portugal,2001,J,0,http://datagraver.com/
Norway,Cyprus,1996,J,0,http://datagraver.com/
Yugoslavia,France,1983,J,3,http://datagraver.com/
Sweden,Estonia,1998,J,4,http://datagraver.com/
Portugal,Turkey,1999,J,0,http://datagraver.com/
Slovakia,Austria,1994,J,0,http://datagraver.com/
Lithuania,Bosnia & Herzegovina,2001,J,0,http://datagraver.com/
Estonia,Turkey,2000,J,0,http://datagraver.com/
Ireland,France,2001,J,7,http://datagraver.com/
Finland,United Kingdom,2005,J,0,http://datagraver.com/
Germany,Portugal,1995,J,0,http://datagraver.com/
Sweden,Norway,1980,J,0,http://datagraver.com/
France,Ireland,1998,J,0,http://datagraver.com/
The Netherlands,Germany,1980,J,12,http://datagraver.com/
Germany,Hungary,2005,J,0,http://datagraver.com/
F.Y.R. Macedonia,Belgium,2000,J,2,http://datagraver.com/
Norway,Romania,2000,J,0,http://datagraver.com/
Ireland,Malta,1996,J,0,http://datagraver.com/
Greece,Israel,1998,J,10,http://datagraver.com/
Belgium,Latvia,2000,J,12,http://datagraver.com/
Turkey,Norway,2012,J,0,http://datagraver.com/
Spain,Slovenia,1998,J,0,http://datagraver.com/
Malta,Croatia,1996,J,7,http://datagraver.com/
Germany,Croatia,1999,J,10,http://datagraver.com/
United Kingdom,Ireland,1998,J,8,http://datagraver.com/
Estonia,Bosnia & Herzegovina,2016,T,0,http://datagraver.com/
Denmark,United Kingdom,2019,J,0,http://datagraver.com/
Lithuania,United Kingdom,2001,J,3,http://datagraver.com/
Germany,Estonia,2003,J,0,http://datagraver.com/
Germany,Germany,1999,J,0,http://datagraver.com/
Germany,Hungary,1994,J,7,http://datagraver.com/
Belgium,Iceland,1989,J,0,http://datagraver.com/
Cyprus,Denmark,2002,J,0,http://datagraver.com/
Norway,Lithuania,1994,J,0,http://datagraver.com/
Greece,Switzerland,1988,J,10,http://datagraver.com/
Denmark,Estonia,1999,J,4,http://datagraver.com/
Cyprus,Ireland,1991,J,0,http://datagraver.com/
Poland,Belgium,1999,J,2,http://datagraver.com/
Spain,Turkey,2006,J,0,http://datagraver.com/
The Netherlands,Poland,1994,J,8,http://datagraver.com/
Iceland,Croatia,1999,J,4,http://datagraver.com/
Germany,Spain,1990,J,12,http://datagraver.com/
Denmark,Austria,1989,J,4,http://datagraver.com/
France,Norway,2019,T,8,http://datagraver.com/
Estonia,Bosnia & Herzegovina,2001,J,0,http://datagraver.com/
Switzerland,Austria,1990,J,0,http://datagraver.com/
Israel,Ireland,2003,J,0,http://datagraver.com/
Switzerland,Malta,1975,J,4,http://datagraver.com/
Ireland,Montenegro,2007,J,0,http://datagraver.com/
Lithuania,Slovenia,1999,J,10,http://datagraver.com/
Poland,Poland,1997,J,0,http://datagraver.com/
France,Belgium,2006,J,3,http://datagraver.com/
Greece,Croatia,1993,J,0,http://datagraver.com/
Israel,F.Y.R. Macedonia,2004,J,0,http://datagraver.com/
Israel,Denmark,1995,J,0,http://datagraver.com/
Iceland,Greece,2019,J,8,http://datagraver.com/
Romania,Israel,2009,J,3,http://datagraver.com/
Ireland,Croatia,1995,J,3,http://datagraver.com/
Lithuania,Portugal,2017,T,12,http://datagraver.com/
Norway,Israel,1999,J,2,http://datagraver.com/
Denmark,The Netherlands,2010,J,4,http://datagraver.com/
Bosnia & Herzegovina,Slovenia,1999,J,5,http://datagraver.com/
Russia,Iceland,1995,J,3,http://datagraver.com/
France,Turkey,2005,J,12,http://datagraver.com/
Israel,France,2005,J,5,http://datagraver.com/
France,United Kingdom,2000,J,0,http://datagraver.com/
France,Cyprus,1999,J,0,http://datagraver.com/
Poland,Poland,2003,J,0,http://datagraver.com/
Malta,Germany,2000,J,0,http://datagraver.com/
Cyprus,Luxembourg,1984,J,7,http://datagraver.com/
Yugoslavia,Spain,1987,J,0,http://datagraver.com/
Ireland,The Netherlands,2006,J,0,http://datagraver.com/
Denmark,Belarus,2019,J,0,http://datagraver.com/
France,Belgium,1979,J,0,http://datagraver.com/
Lithuania,Norway,2001,J,0,http://datagraver.com/
Croatia,Croatia,1995,J,0,http://datagraver.com/
Switzerland,Iceland,2019,J,0,http://datagraver.com/
Austria,Turkey,2002,J,0,http://datagraver.com/
Russia,Croatia,2003,J,0,http://datagraver.com/
Andorra,Germany,2007,J,5,http://datagraver.com/
France,Portugal,1999,J,12,http://datagraver.com/
Italy,Hungary,1997,J,0,http://datagraver.com/
Lithuania,Malta,1999,J,0,http://datagraver.com/
Estonia,Germany,2002,J,1,http://datagraver.com/
Hungary,F.Y.R. Macedonia,2005,J,0,http://datagraver.com/
Ireland,Finland,2000,J,0,http://datagraver.com/
Sweden,Romania,1998,J,0,http://datagraver.com/
Iceland,Latvia,2004,J,0,http://datagraver.com/
Slovenia,France,1998,J,0,http://datagraver.com/
Croatia,Germany,2002,J,0,http://datagraver.com/
Albania,Portugal,2004,J,0,http://datagraver.com/
Greece,Bosnia & Herzegovina,2001,J,0,http://datagraver.com/
Israel,Poland,2004,J,0,http://datagraver.com/
Israel,Estonia,2019,J,8,http://datagraver.com/
Spain,Montenegro,2019,J,0,http://datagraver.com/
Norway,Norway,2000,J,0,http://datagraver.com/
Greece,Iceland,1991,J,0,http://datagraver.com/
Spain,Croatia,2001,J,0,http://datagraver.com/
Belarus,Finland,2018,J,3,http://datagraver.com/
Belgium,Greece,1992,J,0,http://datagraver.com/
Russia,Iceland,2004,J,2,http://datagraver.com/
Estonia,Austria,1997,J,0,http://datagraver.com/
Sweden,Austria,2011,J,4,http://datagraver.com/
United Kingdom,Germany,1981,J,7,http://datagraver.com/
Greece,Turkey,1991,J,0,http://datagraver.com/
Switzerland,Denmark,2002,J,0,http://datagraver.com/
Croatia,Belgium,1999,J,4,http://datagraver.com/
Norway,Spain,1991,J,4,http://datagraver.com/
Finland,Serbia & Montenegro,2004,J,10,http://datagraver.com/
Estonia,Switzerland,2019,J,10,http://datagraver.com/
Belarus,Cyprus,2007,J,0,http://datagraver.com/
Sweden,F.Y.R. Macedonia,2005,J,1,http://datagraver.com/
Yugoslavia,Sweden,1981,J,7,http://datagraver.com/
Malta,Norway,1996,J,0,http://datagraver.com/
Portugal,Romania,1998,J,0,http://datagraver.com/
Turkey,Malta,2000,J,5,http://datagraver.com/
Norway,Greece,1979,J,0,http://datagraver.com/
Belgium,Estonia,2013,J,1,http://datagraver.com/
Poland,Montenegro,2019,J,0,http://datagraver.com/
Norway,Greece,2008,J,4,http://datagraver.com/
Sweden,Armenia,2010,J,5,http://datagraver.com/
Cyprus,Austria,1995,J,0,http://datagraver.com/
United Kingdom,Lithuania,2019,J,0,http://datagraver.com/
Belgium,Cyprus,1992,J,0,http://datagraver.com/
F.Y.R. Macedonia,Malta,1998,J,0,http://datagraver.com/
Poland,United Kingdom,1997,J,10,http://datagraver.com/
Greece,Turkey,2008,J,0,http://datagraver.com/
Croatia,F.Y.R. Macedonia,2005,J,8,http://datagraver.com/
France,Andorra,2005,J,0,http://datagraver.com/
Iceland,Portugal,1996,J,10,http://datagraver.com/
Switzerland,Finland,1990,J,0,http://datagraver.com/
Cyprus,Finland,1983,J,0,http://datagraver.com/
Cyprus,Turkey,2003,J,8,http://datagraver.com/
The Netherlands,Belgium,1999,J,10,http://datagraver.com/
Romania,Norway,1994,J,4,http://datagraver.com/
F.Y.R. Macedonia,Poland,2004,J,0,http://datagraver.com/
Switzerland,Switzerland,1977,J,0,http://datagraver.com/
Lithuania,Lithuania,1999,J,0,http://datagraver.com/
Russia,Norway,1995,J,12,http://datagraver.com/
Malta,Malta,1999,J,0,http://datagraver.com/
The Netherlands,Sweden,2008,J,0,http://datagraver.com/
United Kingdom,Greece,2019,J,0,http://datagraver.com/
Israel,Israel,1999,J,0,http://datagraver.com/
Romania,The Netherlands,1994,J,0,http://datagraver.com/
The Netherlands,Malta,2000,J,1,http://datagraver.com/
Ireland,Switzerland,1994,J,0,http://datagraver.com/
Spain,Lithuania,2002,J,0,http://datagraver.com/
United Kingdom,Spain,2004,J,0,http://datagraver.com/
Malta,Spain,1999,J,0,http://datagraver.com/
The Netherlands,Ireland,1979,J,0,http://datagraver.com/
Sweden,Bosnia & Herzegovina,1996,J,0,http://datagraver.com/
Romania,Iceland,2003,J,0,http://datagraver.com/
Greece,Spain,1976,J,1,http://datagraver.com/
Denmark,Finland,1981,J,0,http://datagraver.com/
Spain,Israel,1992,J,10,http://datagraver.com/
The Netherlands,Croatia,1999,J,1,http://datagraver.com/
Sweden,Iceland,2005,J,7,http://datagraver.com/
Israel,Malta,2001,J,0,http://datagraver.com/
Israel,France,2009,J,5,http://datagraver.com/
Croatia,Greece,1998,J,0,http://datagraver.com/
Turkey,Germany,1992,J,0,http://datagraver.com/
Croatia,Switzerland,1993,J,2,http://datagraver.com/
Belgium,Estonia,2003,J,0,http://datagraver.com/
Spain,Bosnia & Herzegovina,2005,J,0,http://datagraver.com/
Poland,Estonia,1999,J,8,http://datagraver.com/
Ukraine,Finland,2006,J,6,http://datagraver.com/
Portugal,Bosnia & Herzegovina,2006,J,6,http://datagraver.com/
Turkey,Cyprus,2002,J,0,http://datagraver.com/
Bosnia & Herzegovina,Estonia,1999,J,3,http://datagraver.com/
Albania,Cyprus,2019,J,7,http://datagraver.com/
Yugoslavia,Iceland,1989,J,0,http://datagraver.com/
Ireland,Portugal,1995,J,0,http://datagraver.com/
Turkey,Romania,2000,J,0,http://datagraver.com/
Sweden,Poland,2007,J,0,http://datagraver.com/
Turkey,United Kingdom,1999,J,4,http://datagraver.com/
Finland,Denmark,2005,J,2,http://datagraver.com/
Germany,Poland,1999,J,4,http://datagraver.com/
Malta,Finland,1996,J,0,http://datagraver.com/
Iceland,Sweden,1993,J,7,http://datagraver.com/
United Kingdom,Turkey,1999,J,0,http://datagraver.com/
Slovenia,Slovenia,1999,J,0,http://datagraver.com/
Switzerland,Serbia & Montenegro,2004,J,12,http://datagraver.com/
Finland,Switzerland,1987,J,0,http://datagraver.com/
Bosnia & Herzegovina,Poland,1994,J,8,http://datagraver.com/
Ireland,Portugal,1997,J,0,http://datagraver.com/
Greece,United Kingdom,1997,J,10,http://datagraver.com/
Latvia,Belgium,2006,J,0,http://datagraver.com/
Greece,Turkey,1996,J,0,http://datagraver.com/
Sweden,Norway,1995,J,0,http://datagraver.com/
Norway,Croatia,2003,J,0,http://datagraver.com/
Turkey,Slovenia,1993,J,0,http://datagraver.com/
Ireland,The Netherlands,2019,T,8,http://datagraver.com/
Slovenia,Slovenia,1993,J,0,http://datagraver.com/
Switzerland,Norway,1991,J,0,http://datagraver.com/
Bosnia & Herzegovina,Switzerland,2002,J,0,http://datagraver.com/
Slovenia,Estonia,2018,T,0,http://datagraver.com/
Croatia,Croatia,1998,J,0,http://datagraver.com/
Montenegro,Iceland,2017,J,0,http://datagraver.com/
Iceland,Norway,1994,J,1,http://datagraver.com/
The Netherlands,Greece,1976,J,0,http://datagraver.com/
Portugal,Norway,1995,J,12,http://datagraver.com/
Austria,The Netherlands,1982,J,0,http://datagraver.com/
Portugal,Croatia,1999,J,6,http://datagraver.com/
F.Y.R. Macedonia,Israel,2009,J,0,http://datagraver.com/
Estonia,Cyprus,1998,J,0,http://datagraver.com/
Slovenia,France,2019,J,3,http://datagraver.com/
Switzerland,Portugal,1981,J,0,http://datagraver.com/
Croatia,Russia,2000,J,12,http://datagraver.com/
Turkey,Turkey,2002,J,0,http://datagraver.com/
Sweden,Malta,2001,J,3,http://datagraver.com/
Latvia,Croatia,2009,J,0,http://datagraver.com/
Cyprus,Turkey,1999,J,0,http://datagraver.com/
Ireland,Austria,2000,J,2,http://datagraver.com/
Portugal,Norway,1997,J,0,http://datagraver.com/
France,Hungary,2005,J,4,http://datagraver.com/
Ireland,Russia,1995,J,0,http://datagraver.com/
Iceland,Sweden,1994,J,2,http://datagraver.com/
Belgium,Finland,1993,J,0,http://datagraver.com/
Denmark,Denmark,1992,J,0,http://datagraver.com/
Lithuania,Belgium,2018,T,8,http://datagraver.com/
Croatia,Slovenia,1999,J,12,http://datagraver.com/
Turkey,Cyprus,2000,J,0,http://datagraver.com/
Germany,The Netherlands,1992,J,7,http://datagraver.com/
Belgium,Cyprus,2002,J,3,http://datagraver.com/
Cyprus,Hungary,1995,J,0,http://datagraver.com/
Turkey,Turkey,1998,J,0,http://datagraver.com/
Hungary,Spain,1994,J,0,http://datagraver.com/
Spain,Estonia,2000,J,0,http://datagraver.com/
Poland,Iceland,1996,J,3,http://datagraver.com/
Romania,Portugal,2018,T,0,http://datagraver.com/
Ireland,Spain,2007,J,0,http://datagraver.com/
Bulgaria,Portugal,2005,J,0,http://datagraver.com/
Malta,Denmark,2000,J,8,http://datagraver.com/
Belgium,Russia,2019,T,1,http://datagraver.com/
Slovenia,The Netherlands,1993,J,7,http://datagraver.com/
Belgium,Estonia,1996,J,0,http://datagraver.com/
Slovenia,Greece,1998,J,0,http://datagraver.com/
Lithuania,Israel,1999,J,0,http://datagraver.com/
Latvia,Russia,2000,J,0,http://datagraver.com/
Russia,United Kingdom,1997,J,12,http://datagraver.com/
The Netherlands,Norway,1999,J,0,http://datagraver.com/
Lithuania,Norway,1994,J,1,http://datagraver.com/
Sweden,Germany,1993,J,0,http://datagraver.com/
Germany,Estonia,1997,J,7,http://datagraver.com/
Finland,Turkey,1996,J,5,http://datagraver.com/
Italy,Spain,1977,J,7,http://datagraver.com/
Spain,Bosnia & Herzegovina,1994,J,7,http://datagraver.com/
Cyprus,Georgia,2008,J,12,http://datagraver.com/
United Kingdom,Ireland,1993,J,12,http://datagraver.com/
Denmark,Ireland,2005,J,0,http://datagraver.com/
The Netherlands,Russia,2000,J,0,http://datagraver.com/
Moldova,Portugal,2018,T,0,http://datagraver.com/
Austria,Denmark,1985,J,5,http://datagraver.com/
Malta,Iceland,1994,J,0,http://datagraver.com/
Norway,Switzerland,1992,J,0,http://datagraver.com/
Spain,Sweden,1991,J,4,http://datagraver.com/
Sweden,Latvia,2002,J,5,http://datagraver.com/
Malta,Finland,1991,J,0,http://datagraver.com/
Belgium,Israel,1986,J,0,http://datagraver.com/
Albania,Ukraine,2004,J,3,http://datagraver.com/
Belarus,Belgium,2006,J,0,http://datagraver.com/
Switzerland,Italy,1992,J,7,http://datagraver.com/
Turkey,Slovenia,1999,J,0,http://datagraver.com/
Belgium,Lithuania,2006,J,4,http://datagraver.com/
Poland,Cyprus,1998,J,0,http://datagraver.com/
Portugal,Slovenia,1999,J,0,http://datagraver.com/
Iceland,Finland,1988,J,0,http://datagraver.com/
Ireland,Germany,2000,J,5,http://datagraver.com/
Turkey,Malta,1998,J,10,http://datagraver.com/
Greece,Switzerland,2019,J,0,http://datagraver.com/
Switzerland,Armenia,2009,J,1,http://datagraver.com/
Poland,Germany,1998,J,0,http://datagraver.com/
Bosnia & Herzegovina,Italy,1993,J,0,http://datagraver.com/
Malta,Turkey,2003,J,4,http://datagraver.com/
United Kingdom,Sweden,2002,J,1,http://datagraver.com/
Finland,Poland,2004,J,0,http://datagraver.com/
Austria,Malta,2003,J,0,http://datagraver.com/
Latvia,Moldova,2011,J,0,http://datagraver.com/
Finland,Norway,2004,J,0,http://datagraver.com/
Israel,Finland,2000,J,0,http://datagraver.com/
F.Y.R. Macedonia,F.Y.R. Macedonia,2004,J,0,http://datagraver.com/
Turkey,Austria,1996,J,4,http://datagraver.com/
Sweden,Germany,1999,J,2,http://datagraver.com/
United Kingdom,Russia,2001,J,0,http://datagraver.com/
Finland,Iceland,1986,J,0,http://datagraver.com/
Ireland,Portugal,1998,J,0,http://datagraver.com/
Belgium,Austria,1990,J,2,http://datagraver.com/
Austria,Portugal,1989,J,6,http://datagraver.com/
Germany,Bosnia & Herzegovina,1997,J,3,http://datagraver.com/
Austria,Bosnia & Herzegovina,1993,J,0,http://datagraver.com/
Ireland,Norway,1992,J,0,http://datagraver.com/
Sweden,F.Y.R. Macedonia,1998,J,0,http://datagraver.com/
Spain,Croatia,2016,J,0,http://datagraver.com/
Spain,France,2008,J,0,http://datagraver.com/
Russia,Israel,2002,J,0,http://datagraver.com/
Ireland,Ukraine,2003,J,0,http://datagraver.com/
Estonia,Israel,1998,J,7,http://datagraver.com/
Poland,Ukraine,2003,J,10,http://datagraver.com/
Estonia,The Netherlands,2000,J,0,http://datagraver.com/
United Kingdom,Moldova,2006,J,0,http://datagraver.com/
Azerbaijan,United Kingdom,2009,J,0,http://datagraver.com/
Russia,Bosnia & Herzegovina,2002,J,0,http://datagraver.com/
Cyprus,Estonia,1997,J,1,http://datagraver.com/
Spain,Romania,2002,J,5,http://datagraver.com/
Norway,Latvia,2001,J,0,http://datagraver.com/
Turkey,Portugal,1996,J,5,http://datagraver.com/
Lithuania,Croatia,2001,J,0,http://datagraver.com/
Finland,Cyprus,1991,J,0,http://datagraver.com/
Hungary,Albania,2008,J,0,http://datagraver.com/
